Model	Annotator	Chambre	Emplacement	Rapport qualité-prix	Ambiance	Personnel
Llama-3.1-8B-Instruct	annotator_7@mail.com	0.6977852955096472	0.8879947602730127	0.49223636322896513	0.6733582690030624	0.8692544672844628
Llama-3.1-8B-Instruct	annotator_5@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.1-8B-Instruct	annotator_6@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.1-8B-Instruct	annotator_9@mail.com	0.6296467328765364	0.8701408404492295	0.6308175858541296	0.6333456357823974	0.8850728404195555
Llama-3.1-8B-Instruct	annotator_12@mail.com	0.8796336442491238	0.9151404546787939	0.47591744977088607	0.7124370322285901	0.9188758114251357
Llama-3.1-8B-Instruct	annotator_11@mail.com	0.8784417779872422	0.9058595094182205	0.7803062059046663	0.7312152569896779	0.9234857221497011
Llama-3.1-8B-Instruct	annotator_2@mail.com	1.0	1.0	1.0	1.0	1.0
Ministral-8B-Instruct-2410	annotator_13@mail.com	0.7799975441277505	0.8817564249457644	0.5817250905034703	0.5451199016852611	0.9173176004534387
Ministral-8B-Instruct-2410	annotator_3@mail.com	0.9052810387922846	0.9452910636774179	0.8132037165411413	0.8779395320800203	0.9433873633820552
Ministral-8B-Instruct-2410	annotator_4@mail.com	0.8907429526529561	0.9323793823610761	0.6216600569403976	0.5863034588678006	0.931140987433695
Ministral-8B-Instruct-2410	annotator_10@mail.com	1.0	1.0	1.0	1.0	1.0
Ministral-8B-Instruct-2410	annotator_8@mail.com	1.0	1.0	1.0	1.0	1.0
Ministral-8B-Instruct-2410	annotator_1@mail.com	0.848345048605575	0.9508408147212198	0.768025543360337	0.797030240871347	0.9443123173881376
Ministral-8B-Instruct-2410	annotator_7@mail.com	0.7800935156611206	0.8843338518999299	0.5079702640426521	0.4891844695504856	0.876154568622106
Ministral-8B-Instruct-2410	annotator_5@mail.com	1.0	1.0	1.0	1.0	1.0
Ministral-8B-Instruct-2410	annotator_6@mail.com	1.0	1.0	1.0	1.0	1.0
Ministral-8B-Instruct-2410	annotator_9@mail.com	0.6935723949895951	0.899348280384716	0.6174910761508876	0.7475615920451331	0.8973097700433462
Ministral-8B-Instruct-2410	annotator_12@mail.com	0.8839068281459265	0.930007500954798	0.5414316500457431	0.6130032200847768	0.9289683907563944
Ministral-8B-Instruct-2410	annotator_11@mail.com	0.8979070220438353	0.9367874298417487	0.6914473912083439	0.8637089519475405	0.912769095725334
Ministral-8B-Instruct-2410	annotator_2@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.2-1B-Instruct	annotator_13@mail.com	0.26235244723407397	0.42062925617575586	0.22306946560003693	0.20677613209172507	0.35354210233480987
Llama-3.2-1B-Instruct	annotator_3@mail.com	0.3569046959626403	0.44510106679488143	0.37397643838802286	0.4111248533944593	0.4688707360294152
Llama-3.2-1B-Instruct	annotator_4@mail.com	0.44425672796210236	0.559147833046203	0.28537509073374256	0.3445834081618469	0.5710726440494446
Llama-3.2-1B-Instruct	annotator_10@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.2-1B-Instruct	annotator_8@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.2-1B-Instruct	annotator_1@mail.com	0.3921002397154984	0.4722789763646309	0.30414955811897476	0.3137001278348253	0.46127611823156023
Llama-3.2-1B-Instruct	annotator_7@mail.com	0.1687469656516645	0.21782323316783944	0.07396538782239637	0.09220930322043662	0.1686703312917803
Llama-3.2-1B-Instruct	annotator_5@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.2-1B-Instruct	annotator_6@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.2-1B-Instruct	annotator_9@mail.com	0.29817695172546765	0.45267848486972684	0.21949927346251627	0.22866000265105063	0.4103184166709756
Llama-3.2-1B-Instruct	annotator_12@mail.com	0.3761565564104415	0.4454015898170421	0.19236049963718485	0.22423749155678713	0.43841572652619853
Llama-3.2-1B-Instruct	annotator_11@mail.com	0.3437196529502536	0.13480111927171806	0.2398573401343766	0.2550809961013694	0.4738535452525646
Llama-3.2-1B-Instruct	annotator_2@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.2-3B-Instruct	annotator_13@mail.com	0.7215964836924412	0.7286863187576207	0.5170810107164592	0.6107859670678005	0.7879667625486141
Llama-3.2-3B-Instruct	annotator_3@mail.com	0.7310166398198966	0.8002899314403482	0.6390070433226497	0.6930167465192247	0.7865461105471423
Llama-3.2-3B-Instruct	annotator_4@mail.com	0.7199345785815575	0.7810151361555897	0.48668205633520184	0.6794194946783202	0.767808381987358
Llama-3.2-3B-Instruct	annotator_10@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.2-3B-Instruct	annotator_8@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.2-3B-Instruct	annotator_1@mail.com	0.7754657612228287	0.8431451989639877	0.6684031033509845	0.7193659173469663	0.8638377206316946
Llama-3.2-3B-Instruct	annotator_7@mail.com	0.5858193656647802	0.5711043305319782	0.26127561473267846	0.5095966854071367	0.6933582229143871
Llama-3.2-3B-Instruct	annotator_5@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.2-3B-Instruct	annotator_6@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.2-3B-Instruct	annotator_9@mail.com	0.5912581193979777	0.6510177941463466	0.429515074750322	0.5894501988800745	0.715944079972647
Llama-3.2-3B-Instruct	annotator_12@mail.com	0.7198938535097729	0.7072663145232738	0.5439130531581362	0.6253077564062174	0.7743516704565561
Llama-3.2-3B-Instruct	annotator_11@mail.com	0.6994273394505751	0.7390630943185864	0.5549463155821494	0.6192657950619261	0.7701359023880856
Llama-3.2-3B-Instruct	annotator_2@mail.com	1.0	1.0	1.0	1.0	1.0
gemma-3-12b-it	annotator_13@mail.com	0.6204413400088391	0.9171627636127441	0.6497665548736816	0.8179829374617866	0.9742848592891786
gemma-3-12b-it	annotator_3@mail.com	0.9550425308071976	0.9746380637166234	0.8979087951075897	0.8882708688846731	0.9808662811501523
gemma-3-12b-it	annotator_4@mail.com	0.9490475875268182	0.9718630898142173	0.7471621847696	0.80767754647925	0.9778667843386083
gemma-3-12b-it	annotator_10@mail.com	1.0	1.0	1.0	1.0	1.0
gemma-3-12b-it	annotator_8@mail.com	1.0	1.0	1.0	1.0	1.0
gemma-3-12b-it	annotator_1@mail.com	0.8328077822813156	0.9673924375593523	0.8695402265593618	0.8507999024443328	0.9730031437424133
gemma-3-12b-it	annotator_7@mail.com	0.8105950939678144	0.9682868203946959	0.622655952397949	0.7423187704173597	0.9550283258355395
gemma-3-12b-it	annotator_5@mail.com	1.0	1.0	1.0	1.0	1.0
gemma-3-12b-it	annotator_6@mail.com	1.0	1.0	1.0	1.0	1.0
gemma-3-12b-it	annotator_9@mail.com	0.7736631304665817	0.9735471599153973	0.8350801491138773	0.8560569707364425	0.9803574515566312
gemma-3-12b-it	annotator_12@mail.com	0.948692337680556	0.9766097562516558	0.6718749290017437	0.84287939972541	0.9789762396195851
gemma-3-12b-it	annotator_11@mail.com	0.9360611186684366	0.9781795566073979	0.8617511611082778	0.8779432237075231	0.9844794355718807
gemma-3-12b-it	annotator_2@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.3-70B-Instruct	annotator_13@mail.com	0.881561150403235	0.9039362651624275	0.5514807174154894	0.7571921291219142	0.9667997971848664
Llama-3.3-70B-Instruct	annotator_3@mail.com	0.9703083565019788	0.9389035197665075	0.8506631785461489	0.8787825014049775	0.9860366648312502
Llama-3.3-70B-Instruct	annotator_4@mail.com	0.943071565474991	0.9301239575808317	0.6646984032084371	0.6791869738549243	0.973359219371638
Llama-3.3-70B-Instruct	annotator_10@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.3-70B-Instruct	annotator_8@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.3-70B-Instruct	annotator_1@mail.com	0.8879401720248411	0.9792979910548795	0.8459992771155439	0.8075219209388201	0.9809146445694171
Llama-3.3-70B-Instruct	annotator_7@mail.com	0.8889705401715374	0.9205488353944594	0.7869252533168946	0.7069902837010585	0.9436426618165212
Llama-3.3-70B-Instruct	annotator_5@mail.com	0.9882989458414455	0.9945863259418543	0.9729574036511156	0.9588929250103732	0.9925928379371434
Llama-3.3-70B-Instruct	annotator_6@mail.com	1.0	1.0	1.0	1.0	1.0
Llama-3.3-70B-Instruct	annotator_9@mail.com	0.7744533023190466	0.9415949412478886	0.8214326769247462	0.8212429669183268	0.9745221862472171
Llama-3.3-70B-Instruct	annotator_12@mail.com	0.9577374304539201	0.981156792745449	0.5343616463813486	0.7737567250458937	0.9814746349869415
Llama-3.3-70B-Instruct	annotator_11@mail.com	0.9594810520561353	0.9477668038248509	0.8680099704757225	0.8786527880239972	0.9708326343492418
Llama-3.3-70B-Instruct	annotator_2@mail.com	0.9900529959773594	0.9927982938892455	0.9716869811939981	0.9637701704880556	0.9966213431284235
Mistral-Nemo-Instruct-FP8-2407	annotator_13@mail.com	0.7639575887980551	0.8889989320108062	0.5852826155111867	0.6573221540110973	0.9287321772930284
Mistral-Nemo-Instruct-FP8-2407	annotator_3@mail.com	0.877964893398493	0.9349663533543198	0.8090961274768526	0.7525623490854947	0.9445169186959455
Mistral-Nemo-Instruct-FP8-2407	annotator_4@mail.com	0.8218987459950662	0.9169720909337233	0.6330049029938078	0.6657837317959421	0.927503867511505
Mistral-Nemo-Instruct-FP8-2407	annotator_10@mail.com	1.0	1.0	1.0	1.0	1.0
Mistral-Nemo-Instruct-FP8-2407	annotator_8@mail.com	1.0	1.0	1.0	1.0	1.0
Mistral-Nemo-Instruct-FP8-2407	annotator_1@mail.com	0.771680395296626	0.9351720094600703	0.754653491957398	0.7816795387988891	0.9195719518168668
Mistral-Nemo-Instruct-FP8-2407	annotator_7@mail.com	0.7273255767251607	0.8839171317717743	0.6699871812101198	0.6132067826071528	0.9099280385014107
Mistral-Nemo-Instruct-FP8-2407	annotator_5@mail.com	1.0	1.0	1.0	1.0	1.0
Mistral-Nemo-Instruct-FP8-2407	annotator_6@mail.com	1.0	1.0	1.0	1.0	1.0
Mistral-Nemo-Instruct-FP8-2407	annotator_9@mail.com	0.6990448469988907	0.8889663313699598	0.7107956067775931	0.67137846822619	0.9310775670780519
Mistral-Nemo-Instruct-FP8-2407	annotator_12@mail.com	0.8578738926005023	0.9362330031312397	0.5902189060076575	0.7299542901420294	0.9395765090791548
Mistral-Nemo-Instruct-FP8-2407	annotator_11@mail.com	0.8407578543511912	0.913411323498193	0.707416772657234	0.6779286794989364	0.9093221239514099
Mistral-Nemo-Instruct-FP8-2407	annotator_2@mail.com	1.0	1.0	1.0	1.0	1.0
